,이름,분류번호,대권역,수계,중권역,수질목표,주소,위도(DMS도),위도(DMS분),위도(DMS초),경도(DMS도),경도(DMS분),경도(DMS초),위도(Degree),경도(Degree),RCH_ID,본/지류,하천/호소,수량,총량,자동,퇴적물,방사성,예보,주요,중권역,보대,조사기관
무심천2,,3011A60,금강,금강,미호천,,충청북도 청주시 상당구 서문동 (서문대교),36,37,58.16,127,29,9.22,36.63282222,127.4858944,30111011,지,하천,1,,,,,,,,,충청북도
무심천3,무심A,3011A65,금강,금강,미호천,,"충청북도 청주시 흥덕구 문암동 (철교,미호천합류1km전)",36,40,4.23,127,27,47.59,36.66784167,127.4632194,30111013,지,하천,1,1,,,,,,,,금강물환경연구소
석남천,미호B4,3011A68,금강,금강,미호천,,충청북도 청주시 흥덕구 강서동 (신대교),36,39,23.65,127,23,24.66,36.65656944,127.3901833,30111304,지,하천,,1,,,,,,,,금강물환경연구소
미호천8,,3011A70,금강,금강,미호천,,충청북도 청주시 옥산면 신촌리 (옥산교),36,39,19.05,127,23,8.5,36.65529167,127.3856944,30111305,지,하천,1,,,,1,,,,,금강유역환경청
병천천A,병천A,3011A78,금강,금강,미호천,,충청북도 청주시 오창읍 성재리 (강정마을입구잠수교),36,43,17.63,127,19,43.02,36.72156389,127.3286167,30111209,지,하천,,1,,,,,,,,금강물환경연구소
용두천,미호B3,3011A79,금강,금강,미호천,,충청남도 천안시 동남구 동면 화덕리652 (세월교),36,45,28.09,127,23,50.07,36.75780278,127.3972417,30111210,지,하천,,1,,,,,,,,금강물환경연구소
병천천,,3011A80,금강,금강,미호천,,충청북도 청주시 오송읍 쌍청리 (쌍청교),36,38,14.15,127,21,1.57,36.63726389,127.3504361,30111211,지,하천,1,,,,,,,,,충청북도
미호천5,,3011A82,금강,금강,미호천,,충청북도 청주시 오송읍 궁평리 (미호천교),36,37,17.24,127,21,7.51,36.62145556,127.3520861,30111305,지,하천,1,,,,,,,,,금강유역환경청
미호천5A,미호B,3011A84,금강,금강,미호천,,세종특별자치시 연동면 예양리 (미호교),36,34,55.88,127,18,59.57,36.58218889,127.3165472,30111503,지,하천,,1,,,,,,,,금강물환경연구소
조천,,3011A85,금강,금강,미호천,,세종특별자치시 조치원 읍상리 (조천교),36,35,51.23,127,18,36.43,36.59756389,127.3101194,30111413,지,하천,1,,,,,,,,,충청남도
조천1,미호C1,3011A87,금강,금강,미호천,,세종특별자치시 조치원 읍번암리 (세월교),36,35,3.63,127,18,4.62,36.58434167,127.3012833,30111413,지,하천,,1,,,,,,,,금강물환경연구소
월하천,,3011A90,금강,금강,미호천,,세종특별자치시 연서면 봉암리 (월암교),36,34,5.78,127,17,15.96,36.56827222,127.2877667,30111511,지,하천,1,,,,,,,,,금강유역환경청
미호천6-1,미호C,3011A97,금강,금강,미호천,III,세종특별자치시 연기면 세종리 (월산교),36,31,19.44,127,19,15.83,36.52206667,127.3210639,30111522,지,하천,1,1,1,1,1,1,1,1,,금강물환경연구소
연기,금본H,3012A05,금강,금강,금강공주,,세종특별자치시 연기면 세종리 (금남교),36,28,40.73,127,16,15.48,36.47798056,127.2709667,30120110,본,하천,1,1,1,1,,1,,,1,금강물환경연구소
금남,,3012A07,금강,금강,금강공주,,세종특별자치시 연기면 세종리(세종보상류500m),36,28,6.42,127,15,47.87,36.46845,127.2632972,30120111,본,하천,1,1,1,,,1,,,,금강물환경연구소(2017년)
용수천-1,금본H1,3012A08,금강,금강,금강공주,,충청남도 공주시 반포면 국곡리(세월교),36,25,26.83,127,16,45.07,36.42411944,127.2791861,30120213,지,하천,,1,,,,,,,,금강물환경연구소
용수천,,3012A10,금강,금강,금강공주,,세종특별자치시 금남면 성덕리 (성덕교),36,27,10.77,127,16,40.4,36.45299167,127.2778889,30120219,지,하천,1,,,,,1,,,,금강물환경연구소
대교천,,3012A15,금강,금강,금강공주,,세종특별자치시 장군면 도계리 (대교),36,29,38.39,127,12,47.58,36.49399722,127.2132167,30120316,지,하천,1,,,,,,,,,충청남도
대교천2,,3012A17,금강,금강,금강공주,,세종특별자치시 연기면 세종리 (송학교),36,27,55.63,127,14,30.11,36.46545278,127.2416972,30120319,지,하천,,1,,,,1,,,,금강물환경연구소
세종2,금본H-1,3012A19,금강,금강,금강공주,,세종특별자치시 장군면 석장리,36,26,29.98,127,11,46,36.44166111,127.1961111,30120409,본,하천,,1,,,,,,,,금강물환경연구소
공주1,,3012A20,금강,금강,금강공주,,충청남도 공주시 금성동 (금강교),36,27,24.28,127,8,27.58,36.45674444,127.1409944,30120417,본,하천,1,,,,1,1,1,,,금강물환경연구소
정안천,,3012A25,금강,금강,금강공주,,충청남도 공주시 신관동 (정안천교),36,27,58.78,127,7,47.85,36.46632778,127.1299583,30120527,지,하천,1,,,,,1,,,,금강물환경연구소
곰나루,,3012A30,금강,금강,금강공주,,충청남도 공주시 웅진동 (곰나루터),36,28,4.59,127,6,29,36.46794167,127.1080556,30120536,본,하천,1,,,,,1,,,,금강유역환경청
금강,,3012A32,금강,금강,금강공주,,충청남도 공주시 우성면 신웅리 (공주보상류500m),36,27,43.17,127,6,6.08,36.46199167,127.1016889,30120536,본,하천,1,,,1,,1,,,1,금강물환경연구소
유구천,유구천,3012A35,금강,금강,금강공주,,충청남도 공주시 우성면 동대리 (동대교),36,28,5.61,127,3,4.34,36.468225,127.0512056,30120631,지,하천,1,,1,,,1,,,,금강물환경연구소
목면,금본I,3012A37,금강,금강,금강공주,,"충청남도 청양군 목면 신흥리 (신흥양수장,어천지천합류후2km)",36,22,54.78,127,0,40.16,36.38188333,127.0111556,30120802,본,하천,,1,,,,1,,,,금강물환경연구소
공주2,,3012A40,금강,금강,금강공주,,충청남도 공주시 탄천면 분강리,36,19,48.64,126,58,16.5,36.33017778,126.97125,30120823,본,하천,1,,,,,1,,,,금강유역환경청
부여,부여,3012A42,금강,금강,금강공주,,충청남도 부여군 부여읍 자왕리 (백제보 상류 500m),36,19,19.5,126,56,39.94,36.32208333,126.9444278,30120833,본,하천,1,,1,1,,1,,,1,금강물환경연구소
지천,,3012A50,금강,금강,금강공주,,충청남도 청양군 장평면 구룡리 (지천교),36,19,24.2,126,51,40,36.32338889,126.8611111,30121008,지,하천,1,,,,,,,,,충청남도
지천-1,금본J1,3012A52,금강,금강,금강공주,,충청남도 부여군 규암면 금암리 (세월교),36,19,8.53,126,54,56.46,36.31903611,126.9156833,30121014,지,하천,,1,,,,1,,,,금강물환경연구소
